DateID;LabID;OthLabID;Problems;CRA;Error;DC13;Material;Species;SiteID;SiteName;SiteContext;SiteType;Country;Longitude;Latitude;LocQual;Source;Comments
10928;NA;NA;NoLabID;6990;40;NA;NA;NA;9896;Catalhöyük West;NA;settlement;TR;32,8229;37.6663;A;CalPal;NA
10929;NA;NA;NoLabID;7160;40;NA;NA;NA;9896;Catalhöyük West;NA;settlement;TR;32,8229;37.6663;A;CalPal;NA
10930;NA;NA;NoLabID;4900;70;NA;eggshell;Struthio camelus;5614;Givat Haparsa;NA;settlement;IL;34,64;31.81;B;CalPal;NA
10931;NA;NA;NoLabID;5085;65;NA;NA;NA;16364;Habuba Kabira;NA;settlement;SY;38,060833;36.150278;A;CalPal;NA
10932;NA;NA;NoLabID;5930;300;NA;NA;NA;16389;Jebel Mokhyat;NA;settlement;SA;43,466;20.205;A;CalPal;NA
10933;NA;NA;NoLabID;7214;38;NA;charcoal;NA;3366;Kuruçay Höyük;NA;settlement;TR;30,166;37.6424;A;CalPal;NA
10934;NA;NA;NoLabID;4795;82;NA;NA;NA;3366;Kuruçay Höyük;NA;settlement;TR;30,166;37.6424;A;CalPal;NA
10935;NA;NA;NoLabID;5170;70;NA;charcoal;NA;3366;Kuruçay Höyük;Level 7;settlement;TR;30,166;37.6424;A;CalPal;NA
10936;NA;NA;NoLabID;4200;150;NA;NA;NA;2657;Mari;PP2, palace;settlement;SY;40,8885;34.5514;A;CalPal;NA
10937;NA;NA;NoLabID;6250;90;NA;charcoal;NA;16365;MK, Sada;NA;settlement;YE;44,98;13.56;B;CalPal;NA
10938;NA;NA;NoLabID;5093;105;NA;NA;NA;15936;Susa;NA;settlement;IR;48,257778;32.190556;A;CalPal;NA
10939;NA;NA;NoLabID;7240;150;NA;NA;NA;928;Tappeh Sang-e Chakhmaq West;NA;settlement;IR;54,9994;36.5006;A;CalPal;NA
