DateID;LabID;OthLabID;Problems;CRA;Error;DC13;Material;Species;SiteID;SiteName;SiteContext;SiteType;Country;Longitude;Latitude;LocQual;Source;Comments
10814;Wk-44379;NA;NA;2974;20;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Contents of bin, CKD structure;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10815;Wk-44380;NA;NA;2940;20;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Collapse and floor deposit in CKD structure;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10816;Wk-44943;NA;NA;4738;20;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10817;Wk-44947;NA;NA;6248;20;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10818;Wk-44948;NA;NA;6122;20;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10819;Wk-44951;NA;NA;6218;23;NA;NA;NA;303295;Jebel Oraf 2;NA;settlement;SA;40,806399;27.91036;A;Petraglia et al. 2020;NA
10820;Wk-44952;NA;NA;6230;20;NA;NA;NA;303295;Jebel Oraf 2;NA;settlement;SA;40,806399;27.91036;A;Petraglia et al. 2020;NA
10821;Wk-44957;NA;NA;6278;20;NA;NA;NA;303295;Jebel Oraf 2;NA;settlement;SA;40,806399;27.91036;A;Petraglia et al. 2020;NA
10822;Wk-44958;NA;NA;6255;20;NA;charcoal;NA;303295;Jebel Oraf 2;Trench 7, Context 708;settlement;SA;40,806399;27.91036;A;Guagnin et al. 2020;NA
10823;Wk-45124;NA;NA;4730;15;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10824;Wk-45125;NA;NA;6533;22;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10825;Wk-45126;NA;NA;6246;22;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10826;Wk-45128;NA;NA;5465;20;NA;NA;NA;303295;Jebel Oraf 2;NA;settlement;SA;40,806399;27.91036;A;Petraglia et al. 2020;NA
10827;Wk-45129;NA;NA;6053;20;NA;NA;NA;303295;Jebel Oraf 2;NA;settlement;SA;40,806399;27.91036;A;Petraglia et al. 2020;NA
10828;Wk-45451;NA;NA;2866;16;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Layer of dung;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10829;Wk-45452;NA;NA;2772;17;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Pit fill;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10830;Wk-45453;NA;NA;2888;18;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Trash lens;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10831;Wk-45454;NA;NA;2816;16;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Trash at top of a large pit;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10832;Wk-45455;NA;NA;3006;17;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Basal deposit in cereal pit;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10833;Wk-45456;NA;NA;2750;17;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Ash lens;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10834;Wk-45457;NA;NA;2889;16;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Ash at bottom of a deep pit;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10835;Wk-45458;NA;NA;3105;16;NA;grain;Cerealia;3401;Yassi Höyük (Gordion);Cylindrical pit;settlement;TR;31,994167;39.655;A;Kealhofer et al. 2019;NA
10836;Wk-45784;NA;NA;6590;17;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10837;Wk-45785;NA;NA;7073;17;NA;NA;NA;303487;Jebel Oraf 115;NA;rock shelter;SA;40,789;27.8997;A;Petraglia et al. 2020;NA
10838;Wk-48016;NA;NA;5524;20;NA;charcoal;NA;303387;Gird-i Rostam;fill, Locus 19;settlement;IQ;45,915;35.753;A;Potts et al. 2019;NA
10839;Wk-48020;NA;NA;3802;19;NA;charcoal;NA;303387;Gird-i Rostam;fill, Locus 11;settlement;IQ;45,915;35.753;A;Potts et al. 2019;NA
10840;Wk-50331;NA;NA;3814;25;NA;charcoal;NA;303498;Rabati;D9,2 [222] bag 56 (sample S.80);settlement;GE;43.15009;41.582815;A;Bedianashvili et al. 2021;NA
10841;Wk-50332;NA;NA;3742;18;NA;charcoal;NA;303498;Rabati;D10,1 [173] bag 44 (sample S.92);settlement;GE;43.15009;41.582815;A;Bedianashvili et al. 2021;NA
10842;Wk-50333;NA;NA;3740;19;NA;charcoal;NA;303498;Rabati;D9,2 [228], bag 98 (sample S.151);settlement;GE;43.15009;41.582815;A;Bedianashvili et al. 2021;NA
10843;Wk-50334;NA;NA;4410;25;NA;charcoal;Ulmus;303498;Rabati;A11,4 [856] bag 98 (sample S.178);settlement;GE;43.15009;41.582815;A;Bedianashvili et al. 2021;NA
10844;Wk-7007;NA;NA;9196;77;NA;charcoal;NA;18826;Wadi Hisban 5;Spot 1: 1,9;open air site;JO;35.7;31.82;B;Flohr et al. 2016;NA
10845;Wk-7008;NA;NA;12890;95;NA;charcoal;NA;18826;Wadi Hisban 5;Spot 1:1,11;open air site;JO;35.7;31.82;B;Edwards 2001;NA
