SiteName	Country	Period	PhaseCode	LabCode	C14Age	C14SD	Material	MaterialSpecies	tpq	taq	Longitude	Latitude	bib	bib_url
Baume de Montclus	France	EN	Layer 3-5	Beta-253158	6550	40	animal bone	Ovis/Capra	-5617	-5390	4.43047	44.26473	Perrin & Defranould 2016	https://doi.org/10.1016/j.quaint.2015.09.046
Baume de Montclus	France	EN	Layer 3-5	Beta-253159	6360	40	animal bone	n/d	-5471	-5218	4.43047	44.26473	Perrin et al. 2009	Perrin09
Baume de Montclus	France	LM	Layer 7-9	Beta-253160	6660	40	animal bone	Capreolus capreolus	-5653	-5483	4.43047	44.26473	Perrin et al. 2009	Perrin09
Baume de Montclus	France	LM	Layer 10B	Beta-253161	6990	40	animal bone	Sus scrofa	-5982	-5755	4.43047	44.26473	Perrin & Defranould 2016	https://doi.org/10.1016/j.quaint.2015.09.046
Baume de Montclus	France	LM	Layer 12A	Beta-253162	7170	50	animal bone	n/d	-6216	-5917	4.43047	44.26473	Perrin & Defranould 2016	https://doi.org/10.1016/j.quaint.2015.09.046
Baume de Montclus	France	LM	Layer 13B	Beta-253163	7190	50	animal bone	Capreolus capreolus	-6219	-5926	4.43047	44.26473	Perrin & Defranould 2016	https://doi.org/10.1016/j.quaint.2015.09.046
Baume de Montclus	France	LM	Layer 14B	Beta-253164	7320	50	animal bone	n/d	-6351	-6064	4.43047	44.26473	Perrin & Defranould 2016	https://doi.org/10.1016/j.quaint.2015.09.046
Baume de Montclus	France	MM	Layer 16	Beta-253166	7670	50	animal bone	n/d	-6636	-6431	4.43047	44.26473	Perrin et al. 2009	Perrin09
Abrigo de Angel 2	Spain	LM	Layers 2a/2b	Beta-254048	6390	40	animal bone	Capra sp.	-5474	-5229	-0.419966	40.708066	Garcia-Puchol et al. 2017	https://doi.org/10.1017/RDC.2017.61
Baume de Montclus	France	MM	Layer 15, D6	Beta-255115	7770	50	animal bone	Cervus elaphus	-6687	-6475	4.43047	44.26473	Perrin et al. 2009	Perrin09
Baume de Montclus	France	MM	Layer 17-30	Beta-255116	7800	50	animal bone	n/d	-6771	-6476	4.43047	44.26473	Perrin et al. 2009	Perrin09
Abri de la Grande Rivoire	France	LMEN	GR08.S16.d28.409.LSBM	Beta-255118	6430	50	animal bone	Cervus sp.	-5479	-5312	5.644342	45.221564	Nicod et al. 2019	https://doi.org/10.1080/00934690.2019.1580077
Abri de la Grande Rivoire	France	LM	T17, D30, 614	Beta-255119	7310	40	animal bone	Cervus sp.	-6235	-6073	5.644342	45.221564	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Balma Guilanya	Spain	EM	C-C1	Beta-257402	7320	40	animal bone	Equus sp.	-6242	-6072	1.609308	42.08679	Allue et al. 2012	https://doi.org/10.1016/j.crpv.2012.04.004
Reina Amalia 31-33	Spain	EN	UE120	Beta-259278	5750	40	animal bone	Sus sp.	-4707	-4496	2.167178	41.376956	Gonzalez et al. 2011	Gonzalez11
Reina Amalia 31-33	Spain	EN	UF1	Beta-259279	5720	40	human bone	Homo sapiens	-4681	-4457	2.167178	41.376956	Gonzalez et al. 2011	Gonzalez11
Cova Gran	Spain	EN	E9	Beta-265982	6020	50	plant seed	Corylus avellana	-5197	-4788	0.811061	41.925881	Mora et al. 2011	https://doi.org/10.1002/jqs.1486
Abri de la Font-des-Pigeons	France	LM	Layer 18G	Beta-267434	6250	40	plant seed	Cerealia sp.	-5312	-5066	5.1667	43.3834	Binder et al. 2017	https://doi.org/10.15184/aqy.2017.65
Cova de la Cocina	Spain	LM	II	Beta-267435	6840	50	animal bone	Capra pyrenaica	-5831	-5634	-0.799848	39.289323	Garcia-Puchol et al. 2018	https://doi.org/10.1016/j.quaint.2016.10.037
Cova de la Cocina	Spain	LM	II	Beta-267436	7080	50	animal bone	Capra pyrenaica	-6061	-5843	-0.799848	39.289323	Garcia-Puchol et al. 2018	https://doi.org/10.1016/j.quaint.2016.10.037
Cova de la Cocina	Spain	LM	II	Beta-267437	7050	50	animal bone	Capra pyrenaica	-6023	-5803	-0.799848	39.289323	Garcia-Puchol et al. 2018	https://doi.org/10.1016/j.quaint.2016.10.037
Cova de la Cocina	Spain	LM	I	Beta-267438	7350	40	animal bone	Capra pyrenaica	-6364	-6077	-0.799848	39.289323	Garcia-Puchol et al. 2018	https://doi.org/10.1016/j.quaint.2016.10.037
Cova de la Cocina	Spain	LM	I	Beta-267439	6760	40	animal bone	Capra pyrenaica	-5727	-5573	-0.799848	39.289323	Garcia-Puchol et al. 2018	https://doi.org/10.1016/j.quaint.2016.10.037
Cova de la Cocina	Spain	LM	I	Beta-267440	7610	40	animal bone	Capra pyrenaica	-6570	-6396	-0.799848	39.289323	Garcia-Puchol et al. 2018	https://doi.org/10.1016/j.quaint.2016.10.037
Abric de la Falguera	Spain	LM	Phase VII, Layer IIIa, UE3137, c.I/4	Beta-267441	7380	40	animal bone	Cervus elaphus	-6378	-6087	-0.5881	38.6662	Marchand & Perrin 2017	https://doi.org/10.1016/j.quaint.2015.07.059
Cueva de Nerja	Spain	EN	Sala Cataclismo	Beta-270018	5770	40	wood charcoal	n/d	-4718	-4503	-3.844529	36.762871	Garcia Borja et al. 2018	GarciaBorja18
Cueva de Nerja	Spain	EN	NM-7 Base	Beta-270023	6330	40	wood charcoal	n/d	-5461	-5214	-3.844529	36.762871	Carrasco & Martinez 2014	Carrasco14
Cueva de Nerja	Spain	EN	Sala Mina (capa 7)	Beta-270034	6040	40	wood charcoal	n/d	-5045	-4801	-3.844529	36.762871	Carrasco & Martinez 2014	Carrasco14
Cueva de Nerja	Spain	EN	Sala Mina (capa 6)	Beta-270037	5740	40	wood charcoal	n/d	-4700	-4461	-3.844529	36.762871	Carrasco & Martinez 2014	Carrasco14
La Draga	Spain	EN	Sector C, Phase I	Beta-278255	6270	40	animal bone	n/d	-5323	-5071	2.758536	42.126877	Bosch et al. 2011	Bosch11
La Draga	Spain	EN	Sector C, Phase I	Beta-278256	6170	40	animal bone	n/d	-5217	-4997	2.758536	42.126877	Bosch et al. 2011	Bosch11
Cova Colomera	Spain	EN	CV10	Beta-279478	6180	40	wood charcoal	Buxus sp.	-5286	-5003	0.762786	42.085527	Oms et al. 2013	https://doi.org/10.7203/SAGVNTVM.45.2007
Can Fiula	Spain	EN	CF-1	Beta-280353	6260	40	animal bone	Ovis aries	-5316	-5069	2.175581	41.53002	Garcia-Martinez de Lagran et al. 2017	https://doi.org/10.1016/j.quaint.2016.12.043
Cueva de la Serreta	Spain	MN	E60	Beta-280861	5200	40	human bone	Homo sapiens	-4224	-3948	1.719751	41.324445	Masclans et al. 2019	https://doi.org/10.1016/j.jasrep.2019.05.023
Cueva de la Serreta	Spain	EN	E61	Beta-280862	6490	40	wood charcoal	Arbutus unedo	-5534	-5363	1.719751	41.324445	Oms et al. 2014	https://doi.org/10.3989/tp.2014.12123
Cueva de la Serreta	Spain	EN	E79	Beta-280866	6420	40	wood charcoal	Arbutus unedo	-5475	-5320	1.719751	41.324445	Oms et al. 2014	https://doi.org/10.3989/tp.2014.12123
Abri de la Grande Rivoire	France	LMEN	GR08.S17.d26.486.LSBMG	Beta-282246	6510	40	animal bone	Cervus sp.	-5558	-5373	5.644342	45.221564	Nicod et al. 2019	https://doi.org/10.1080/00934690.2019.1580077
Abri de la Grande Rivoire	France	LMEN	GR08.T17.d28.554.LGM(F)	Beta-282247	6490	40	animal bone	Cervus sp.	-5534	-5363	5.644342	45.221564	Nicod et al. 2019	https://doi.org/10.1080/00934690.2019.1580077
Abri de la Grande Rivoire	France	LM	ens.4 [AA]	Beta-282248	7790	40	animal bone	Cervus sp.	-6692	-6501	5.644342	45.221564	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Abrigo de l'Esplugon	Spain	EN	Pit with pottery at 167 cm	Beta-283899	6120	40	animal bone	n/d	-5209	-4944	-0.409051	42.412895	Zuniga et al. 2019	https://doi.org/10.4000/books.cths.6552
Cueva de Bajondillo	Spain	LM	Bj/4	Beta-2841145	6070	40	plant seed	Cerealia sp.	-5205	-4843	-4.496648	36.622965	Cortes-Sanchez et al. 2020	https://doi.org/10.1016/j.quaint.2019.11.028
Cueva de Nerja	Spain	LM	LM	Beta-284146	7150	40	wood charcoal	Lathyrus sp	-6076	-5921	-3.844529	36.762871	Garcia Borja et al. 2018	GarciaBorja18
Cueva de Nerja	Spain	EN	NM-5	Beta-284147	6070	40	plant seed	Hordeum vulgare	-5205	-4843	-3.844529	36.762871	Garcia Borja et al. 2014	GarciaBorja14
Cueva de Nerja	Spain	LM	NM 11	Beta-284148	7490	40	wood charcoal	Pinus pinea	-6431	-6244	-3.844529	36.762871	Garcia Borja et al. 2018	GarciaBorja18
Cova dels Trocs	Spain	EN	Trocs I UE20	Beta-284150	6070	40	plant seed	Triticum sp.	-5205	-4843	0.545612	42.452256	Rojo et al. 2013	Rojo13
Orris de la Torbera de Perafita I	Spain	LM	Hut P009	Beta-285100	6570	40	wood charcoal	n/d	-5617	-5475	1.577963	42.479667	Gassiot et al. 2017	https://doi.org/10.1007/978-3-319-55982-7_4
Abrigo de Forcas II	Spain	LM	Layer IV	Beta-290932	7000	40	human bone	Homo sapiens	-5985	-5774	0.3402435	42.184362	Gonzalez-Samperiz et al. 2008	https://doi.org/10.1016/j.yqres.2008.10.006
Cova dels Trocs	Spain	EN	Trocs I UE63	Beta-295782	6060	40	animal bone	n/d	-5203	-4841	0.545612	42.452256	Rojo et al. 2013	Rojo13
Cova de l'Or	Spain	EN	IV	Beta-298124	6290	40	plant seed	Cerealia sp.	-5367	-5126	-0.364154	38.84465	Marti Oliver 2011	Marti11
Cova de l'Or	Spain	EN	VI	Beta-298125	6340	40	plant seed	Cerealia sp.	-5466	-5215	-0.364154	38.84465	Marti Oliver 2011	Marti11
Cova de l'Or	Spain	EN	VI	Beta-298126	6200	40	plant seed	Triticum aestivum/durum	-5300	-5032	-0.364154	38.84465	Marti Oliver 2011	Marti11
