SiteName	Country	Period	PhaseCode	LabCode	C14Age	C14SD	Material	MaterialSpecies	tpq	taq	Longitude	Latitude	bib	bib_url
Grotte de Camprafaud	France	EN	Layer 18	Beta-433209	6190	30	animal bone	Bos taurus	-5286	-5039	2.903389	43.45797	Manen et al. 2018	https://doi.org/10.1017/RDC.2018.98
Grotte de Camprafaud	France	EN	Layer 18	Beta-433211	5910	30	animal bone	n/d	-4878	-4712	2.903389	43.45797	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Cova del Frare	Spain	EN	c6	Beta-436332	6150	40	animal bone	Sus sp.	-5215	-4960	2.019095	41.637334	Navarrete et al., 2017	https://doi.org/10.1002/oa.2598
Mileto	Italy	EN	Pit 1	Beta-44114	6180	80	wood charcoal	n/d	-5315	-4907	11.185418	43.829383	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Mileto	Italy	EN	Pit 2	Beta-44155	6100	80	wood charcoal	n/d	-5284	-4799	11.185418	43.829383	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Reina Amalia 31-33	Spain	EN	UE95	Beta-443481	5750	30	animal bone	Sus sp.	-4691	-4502	2.167178	41.376956	Gonzalez et al. 2011	Gonzalez11
Reina Amalia 31-33	Spain	EN	UE63	Beta-443482	5700	30	animal bone	Bos sp.	-4653	-4452	2.167178	41.376956	Gonzalez et al. 2011	Gonzalez11
Reina Amalia 31-33	Spain	EN	UE105	Beta-443483	5730	30	animal bone	Bos sp.	-4681	-4463	2.167178	41.376956	Gonzalez et al. 2011	Gonzalez11
Reina Amalia 31-33	Spain	EN	UE59	Beta-443484	5720	30	animal bone	Bos sp.	-4678	-4458	2.167178	41.376956	Gonzalez et al. 2011	Gonzalez11
Balma Margineda	Andorra	EN	Layer 3b (G21)	Beta-460418	6250	30	plant seed	Hordeum sp.	-5310	-5072	1.487	42.4824	Manen et al. 2020	https://doi.org/10.1017/RDC.2018.98
Balma Margineda	Andorra	EN	Layer 3b	Beta-460419	5800	30	plant seed	Hordeum vulgare	-4721	-4549	1.487	42.4824	Manen et al. 2020	https://doi.org/10.1017/RDC.2018.98
Grotte Gazel	France	LM	Eboulis_C3a	Beta-469930	5910	30	animal bone	Ovis sp.	-4878	-4712	2.421154	43.325325	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Grotte Gazel	France	LM	Eboulis_C3a	Beta-469931	6140	30	animal bone	Ovis sp.	-5210	-4997	2.421154	43.325325	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Ripa Tetta	Italy	EN	Area B, cobbling	Beta-47808/CAMS-2681	6890	60	plant seed	Cerealia sp.	-5968	-5659	15.404016	41.439567	Binder et al. 2017	https://doi.org/10.4312/dp.44.4
Ripa Tetta	Italy	EN	zone B	Beta-47808/Cams-2681	6890	60	wood charcoal	n/d	-5968	-5659	15.404016	41.439567	Natali & Forgia 2018	https://doi.org/10.1016/j.quaint.2017.07.004
Grotta delle Arene Candide	Italy	MN	US 18 I (excavation BB)	Beta-48683	5740	80	wood charcoal	n/d	-4786	-4371	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	Layer 12, sup.Q.M1	Beta-48685	5900	90	n/a	n/a	-4996	-4546	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	Layer 12, Q. R1	Beta-48686	5780	80	n/a	n/a	-4831	-4450	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	US 18 H (excavation BB) C	Beta-48689	5710	100	animal bone	n/d	-4783	-4354	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	US 12 (excavation Tine) A	Beta-48690	5700	90	animal bone	n/d	-4771	-4352	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	US 24 C1 (excavation BB)	Beta-48691	6000	60	animal bone	n/d	-5038	-4726	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	US 24 C (excavation BB) B	Beta-48692	6010	100	animal bone	n/d	-5210	-4699	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	VBQ1	Beta-48693	5980	160	animal bone	n/d	-5299	-4501	8.32828	44.162304	Maggi et al. 1997	mag-97
Coro Trasito	Spain	EN	Storage pit A-3B19	Beta-491700	5700	30	plant seed	Corylus avellana	-4653	-4452	0.177973	42.595563	Gassiot et al. 2019	Gassiot19
Cova Gran de Montserrat	Spain	EN	UE110	Beta-508798	6360	30	plant seed	Triticum cf. dicocum	-5468	-5220	1.831669	41.573736	Oms et al. 2019	https://doi.org/10.3989/tp.2019.12241
Cova Gran de Montserrat	Spain	EN	UE111	Beta-508799	6380	30	plant seed	Triticum aestivum/durum	-5472	-5227	1.831669	41.573736	Oms et al. 2019	https://doi.org/10.3989/tp.2019.12241
Cova Freda de Montserrat	Spain	EN	Ib	Beta-508800	6410	30	plant seed	Triticum cf. aestivum/durum	-5474	-5318	1.832708	41.57355	Oms et al. 2019	https://doi.org/10.3989/tp.2019.12241
Coro Trasito	Spain	EN	Layer B-2B1	Beta-512244	6190	30	plant seed	n/d	-5286	-5039	0.177973	42.595563	Gassiot et al. 2019	Gassiot19
Grotta delle Arene Candide	Italy	MN	Liv. MCPH 37	Beta-56695	5670	70	wood charcoal	n/d	-4680	-4359	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	Liv. MCPH 39	Beta-56696	5880	70	wood charcoal	n/d	-4933	-4551	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Cova del Vidre	Spain	EN	II hearth	Beta-58934	6189	90	wood charcoal	n/d	-5331	-4852	0.318547	40.857133	Bosch 2016	Bosch16
Terragne	Italy	EN	US 3	Beta-59933	6870	70	n/a	n/a	-5963	-5631	17.626339	40.392311	Fiorentino et al. 2013	https://doi.org/10.1177/0959683613486942
Terragne	Italy	LM	US 5	Beta-59934	6930	70	animal bone	Cervus sp.	-5982	-5671	17.626339	40.392311	Fiorentino et al. 2013	https://doi.org/10.1177/0959683613486942
Abrigo de Forcas II	Spain	LM	Layer IV	Beta-59995	7090	30	wood charcoal	n/d	-6026	-5893	0.3402435	42.184362	Gonzalez-Samperiz et al. 2008	https://doi.org/10.1016/j.yqres.2008.10.006
Abrigo de Forcas II	Spain	EN	Layer b sup	Beta-59996	6090	180	wood charcoal	n/d	-5470	-4555	0.3402435	42.184362	Kunst & Rojo 1999	Kunst99
Grotta delle Arene Candide	Italy	MN	Layer 2 4, G1 Q. G1c15	Beta-60686	5910	90	n/a	n/a	-5002	-4547	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	VBQ1	Beta-60687	6240	110	wood charcoal	n/d	-5472	-4936	8.32828	44.162304	Maggi et al. 1997	mag-97
Grotta delle Arene Candide	Italy	MN	US 24 G (excavation BB)	Beta-60688	6010	110	wood charcoal	n/d	-5215	-4617	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	EN	US 26 G (excavation BB)	Beta-60689	6050	60	wood charcoal	n/d	-5208	-4792	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	EN	US 27 G (excavation BB) A	Beta-60690	6140	160	wood charcoal	n/d	-5471	-4713	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	VBQ2	Beta-60692	5290	80	wood charcoal	n/d	-4327	-3967	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	US 15-16 (excavation BB)	Beta-60693	5670	110	wood charcoal	n/d	-4784	-4333	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	US 17 H (excavation BB) B	Beta-60695	5830	110	wood charcoal	n/d	-4986	-4448	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	VBQ2	Beta-60696	5650	100	wood charcoal	n/d	-4721	-4330	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	US 19 H (excavation BB)	Beta-60697	5850	90	wood charcoal	n/d	-4938	-4496	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	US 20 H (excavation BB)	Beta-60698	5860	90	wood charcoal	n/d	-4945	-4497	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	US 22 H (excavation BB)	Beta-60699	5970	100	wood charcoal	n/d	-5208	-4608	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	VBQ2	Beta-60700	5320	70	wood charcoal	n/d	-4329	-3988	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	Test. M/N Liv. A	Beta-60701	5400	70	wood charcoal	n/d	-4357	-4049	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	Liv. CARD-D	Beta-60707	6090	100	wood charcoal	n/d	-5300	-4732	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Abrigo de Forcas II	Spain	LMEN	Layer V	Beta-60773	6940	40	wood charcoal	n/d	-5968	-5729	0.3402435	42.184362	Gonzalez-Samperiz et al. 2008	https://doi.org/10.1016/j.yqres.2008.10.006
Barranc d'en Fabra	Spain	EN	n/a	Beta-61490	5880	110	wood charcoal	n/d	-5026	-4460	0.572321	40.720113	Girones Rofes et al. 2020	https://doi.org/10.14201/zephyrus2020861542
Grotta delle Arene Candide	Italy	MN	US 17 C (excavation BB)	Beta-65241	5580	120	wood charcoal	n/d	-4717	-4070	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	VBQ2	Beta-65257	5390	90	wood charcoal	n/d	-4441	-3988	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	MN	VBQ2	Beta-65307	5620	70	wood charcoal	n/d	-4650	-4338	8.32828	44.162304	Facchinetti 2012	Facchinetti12
Grotta delle Arene Candide	Italy	EN	US 27 (excavation BB)	Beta-65308	5950	60	wood charcoal	n/d	-4993	-4709	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	EN	US 26 ABD (excavation BB)	Beta-66551	6350	60	wood charcoal	n/d	-5473	-5213	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	MN	US 27 C (excavation BB)	Beta-66552	6150	70	wood charcoal	Phillyrea sp.	-5300	-4856	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Grotta delle Arene Candide	Italy	EN	US 27 G (excavation BB) B	Beta-66553	6880	60	wood charcoal	n/d	-5893	-5641	8.32828	44.162304	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Terragne	Italy	LM	US 5	Beta-67093	7260	60	animal bone	Bos primigenius	-6235	-6014	17.626339	40.392311	Fiorentino et al. 2013	https://doi.org/10.1177/0959683613486942
Konispol Cave	Albania	LM	n/a	Beta-67803	7510	90	wood charcoal	n/d	-6570	-6092	20.177229	39.674781	Forenbaher & Miracle 2006	https://doi.org/10.4312/dp.33.10
Konispol Cave	Albania	LM	n/a	Beta-67804	7630	140	wood charcoal	n/d	-7023	-6095	20.177229	39.674781	Forenbaher & Miracle 2006	https://doi.org/10.4312/dp.33.10
Defensola	Italy	EN	n/a	Beta-71143	6820	80	wood charcoal	n/d	-5887	-5566	16.150436	41.893375	Odriozola et al. 2016	https://doi.org/10.1016/j.yqres.2015.11.010
Defensola	Italy	EN	n/a	Beta-71144	6670	70	wood charcoal	n/d	-5712	-5480	16.150436	41.893375	Odriozola et al. 2016	https://doi.org/10.1016/j.yqres.2015.11.010
Favella della Corte	Italy	EN	Ditch Z, Structure A	Beta-71633	6940	40	plant seed	Cerealia sp.	-5968	-5729	16.437459	39.684086	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Cascina Cascinetta	Italy	EN	US 221	Beta-71945	6340	60	wood charcoal	n/d	-5474	-5211	9.086047	45.066467	Facchinetti 2012	Facchinetti12
Plansallosa	Spain	EN	Layer I	Beta-74311	6180	60	wood charcoal	n/d	-5304	-4954	2.632176	42.234215	Tabernero et al. 1999	Tabernero99
Plansallosa	Spain	MN	Layer II	Beta-74312	5870	60	wood charcoal	n/d	-4897	-4551	2.632176	42.234215	Tabernero et al. 1999	Tabernero99
Plansallosa	Spain	EN	Layer I	Beta-74313	6130	60	wood charcoal	n/d	-5217	-4852	2.632176	42.234215	Tabernero et al. 1999	Tabernero99
Cova de les Cendres	Spain	MN	Layer VI	Beta-75213	5640	80	wood charcoal	n/d	-4678	-4344	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Cova de les Cendres	Spain	EN	Layer VII	Beta-75214	5790	80	wood charcoal	n/d	-4833	-4454	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Cova de les Cendres	Spain	EN	Layer VIII	Beta-75215	5930	80	wood charcoal	n/d	-5026	-4604	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Cova de les Cendres	Spain	EN	Layer VIII	Beta-75216	6010	80	wood charcoal	n/d	-5207	-4714	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Cova de les Cendres	Spain	EN	Layer IX	Beta-75217	6150	80	wood charcoal	n/d	-5305	-4850	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Cova de les Cendres	Spain	EN	Layer X	Beta-75218	6260	80	wood charcoal	n/d	-5465	-5002	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Cova de les Cendres	Spain	EN	Layer X	Beta-75219	6420	80	wood charcoal	n/d	-5528	-5216	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Cova de les Cendres	Spain	EN	Layer XI	Beta-75220	6730	80	wood charcoal	n/d	-5753	-5481	0.152631	38.685691	Bernabeu & Molina 2011	Bernabeu11
Coves de Santa Maira	Spain	EN	IB	Beta-75224	5640	140	wood charcoal	n/d	-4836	-4171	-0.191546	38.726325	Rojo et al. 2006	Rojo06
Riparo di Pian del Ciliegio	Italy	MN	US 40	Beta-77355	5560	130	wood charcoal	n/d	-4709	-4056	8.374722	44.202222	Facchinetti 2012	Facchinetti12
Riparo di Pian del Ciliegio	Italy	MN	US 54	Beta-77356	5810	70	wood charcoal	n/d	-4836	-4494	8.374722	44.202222	Zemour et al. 2017	https://doi.org/10.1080/00934690.2017.1317121
Cova en Pardo	Spain	EN	n/a	Beta-79492	5510	60	wood charcoal	n/d	-4489	-4246	-0.297931	38.814485	Soler et al. 2012	Soler12
Konispol Cave	Albania	LM	n/a	Beta-79999	7410	80	wood charcoal	n/d	-6420	-6086	20.177229	39.674781	Forenbaher & Miracle 2006	https://doi.org/10.4312/dp.33.10
Konispol Cave	Albania	LM	II	Beta-80000	7550	80	wood charcoal	n/d	-6570	-6234	20.177229	39.674781	Forenbaher & Miracle 2006	https://doi.org/10.4312/dp.33.10
Konispol Cave	Albania	LM	n/a	Beta-80001	7550	80	wood charcoal	n/d	-6570	-6234	20.177229	39.674781	Forenbaher & Miracle 2006	https://doi.org/10.4312/dp.33.10
Defensola	Italy	EN	n/a	Beta-80603	6540	60	wood charcoal	n/d	-5620	-5374	16.150436	41.893375	Odriozola et al. 2016	https://doi.org/10.1016/j.yqres.2015.11.010
Defensola	Italy	EN	n/a	Beta-80604	6630	70	wood charcoal	n/d	-5708	-5473	16.150436	41.893375	Odriozola et al. 2016	https://doi.org/10.1016/j.yqres.2015.11.010
Martinetti	Italy	EN	Sezione 6	Beta-80605	5170	70	wood charcoal	n/d	-4229	-3793	16.1593	41.8575	Fiorentino et al. 2013	https://doi.org/10.1177/0959683613486942
Plansallosa	Spain	MN	Layer II	Beta-87965	5720	70	wood charcoal	n/d	-4721	-4369	2.632176	42.234215	Tabernero et al. 1999	Tabernero99
Cova en Pardo	Spain	EN	n/a	Beta-89286	6140	50	wood charcoal	n/d	-5216	-4940	-0.297931	38.814485	Soler et al. 2012	Soler12
Cerro de la Virtud	Spain	EN	Layer II	Beta-90884	5660	80	wood charcoal	Pinus halepensis	-4684	-4351	-2.1334	37.35	Ruiz-Taboada & Montero 1999	RuizTaboada99
Cerro de la Virtud	Spain	EN	Layer II	Beta-90885	5920	70	wood charcoal	n/d	-4992	-4614	-2.1334	37.35	Ruiz-Taboada & Montero 1999	RuizTaboada99
Riparo Gaban	Italy	EN	Layer D2	Bin-1777	6030	45	wood charcoal	n/d	-5041	-4797	11.12435	46.093052	Perrin 2005	Perrin05
Riparo Gaban	Italy	EN	Layer D2	Bin-1777A	5750	60	wood charcoal	n/d	-4770	-4451	11.12435	46.093052	Perrin 2005	Perrin05
Riparo Gaban	Italy	EN	Layer D8	Bin-1778	5990	45	wood charcoal	n/d	-4999	-4730	11.12435	46.093052	Perrin 2005	Perrin05
Arma dell'Aquila	Italy	EN	Layer V	Bin-3450	6240	90	wood charcoal	n/d	-5465	-4952	8.32967	44.204708	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Cueva de Nerja	Spain	EN	Layer II	Birm-1113	6990	80	wood charcoal	n/d	-6014	-5726	-3.844529	36.762871	Garcia-Moreno et al. 2015	https://doi.org/10.5209/rev_CMPL.2015.v26.n1.49342
Molino Casarotto	Italy	MN	Shell midden, below peat	Birm-172	6240	100	wood charcoal	n/d	-5471	-4941	11.539	45.4656	Shotton et al. 1970	https://doi.org/10.1017/S0033822200008158
Rivoli Rocca	Italy	MN	Pit PQR	Birm-616	5070	100	wood charcoal	n/d	-4156	-3643	10.814479	45.57196	Facchinetti 2012	Facchinetti12
Rivoli Rocca	Italy	MN	Pit PQR	Birm-617	5370	70	wood charcoal	n/d	-4346	-4002	10.814479	45.57196	Facchinetti 2012	Facchinetti12
Passo della Comunella	Italy	LM	Isolated charcoal from layers	Birm-830	6960	130	wood charcoal	n/d	-6064	-5630	10.312954	44.280499	Kozlowski et al. 2003	Kozlowski03
Campo Sera Mattina	Italy	EN	n/a	Birm-832	5570	200	wood charcoal	n/d	-4890	-3974	10.3667	45.1167	Facchinetti 2012	Facchinetti12
Ostiano-Dugali Alti	Italy	EN	Pit III	Bln-2795	6090	100	wood charcoal	Fraxinus and Quercus sp.	-5300	-4732	10.26664	45.23257	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Casalmoro	Italy	EN	Structure 1	Bln-2975	5810	60	wood charcoal	n/d	-4797	-4502	10.4	45.25	Bagolini & Biagi 1990	https://doi.org/10.1111/j.1468-0092.1990.tb00211.x
Savignano sul Panaro	Italy	EN	Pit indet	Bln-2976	5880	80	wood charcoal	n/d	-4947	-4542	11.04242	44.476479	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Campo Ceresole	Italy	EN	Pit XXXII	Bln-3135	5930	50	wood charcoal	Quercus sp. + Fraxinus sp.	-4942	-4702	10.402274	45.115752	Starnini et al. 2018	https://doi.org/10.1016/j.quaint.2017.05.059
Travo Cassa di Risparmio	Italy	MN	n/a	Bln-3136	5610	50	wood charcoal	n/d	-4540	-4351	9.546	44.864	Facchinetti 2012	Facchinetti12
Fiorano Modenese	Italy	EN	Layer 4	Bln-3137	5570	50	wood charcoal	n/d	-4531	-4335	10.823464	44.544107	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Arma dello Stefanin	Italy	EN	Layer 2	Bln-3276	6610	60	wood charcoal	n/d	-5641	-5473	8.0021	44.1044	Biagi & Starnini 2016	Biagi16
Fienile Rossino	Italy	LM	Posthole	Bln-3277	6810	70	wood charcoal	n/d	-5876	-5566	10.356111	45.599167	Bagolini & Biagi 1990	https://doi.org/10.1111/j.1468-0092.1990.tb00211.x
Lugo di Romagna	Italy	EN	MacroA-Phase 2 palizzata, sett. I	Bln-3370	6170	50	wood charcoal	n/d	-5297	-4989	11.901914	44.464184	Degasperi & Steffe 2019	Degasperi19
Fornace Cappuccini	Italy	EN	Ditch (lower sector)	Bln-3372	6320	60	wood charcoal	n/d	-5472	-5079	11.872712	44.283427	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Sammardenchia	Italy	EN	Structure 1/1985	Bln-3373	6120	60	wood charcoal	n/d	-5215	-4851	13.231355	45.975305	Mazzucco et al. 2020	https://doi.org/10.1371/journal.pone.0232455.s002
Arma dell'Aquila	Italy	EN	Hearth 5	Bln-3450	6240	90	wood charcoal	n/d	-5465	-4952	8.32967	44.204708	Bagolini & Biagi 1990	https://doi.org/10.1111/j.1468-0092.1990.tb00211.x
Valer	Italy	EN	Str. 1	Bln-4431	6504	59	wood charcoal	n/d	-5613	-5333	12.71992	45.893591	Facchinetti 2012	Facchinetti12
Valer	Italy	EN	Pit 1	Bln-4432	6400	200	wood charcoal	n/d	-5715	-4856	12.71992	45.893591	Facchinetti 2012	Facchinetti12
Valer	Italy	EN	Pit 2	Bln-4436	6557	71	wood charcoal	n/d	-5626	-5374	12.71992	45.893591	Facchinetti 2012	Facchinetti12
Grotta Filiestru	Italy	EN	Trench D layers 7-9	BM-2139R	7760	130	animal bone	n/d	-7038	-6416	8.651545	40.453804	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Marcianese	Italy	EN	Lower level of main hut	BM-2250	6290	60	wood charcoal	n/d	-5464	-5061	14.382237	42.208409	Ambers et al. 1987	https://doi.org/10.1017/S0033822200043575
Marcianese	Italy	EN	n/a	BM-2250R	6590	130	wood charcoal	n/d	-5736	-5231	14.382237	42.208409	Biagi & Spataro 2002	Biagi02
Marcianese	Italy	EN	Upper levels of main hut	BM-2251	6250	90	wood charcoal	n/d	-5470	-4955	14.382237	42.208409	Ambers et al. 1987	https://doi.org/10.1017/S0033822200043575
Marcianese	Italy	EN	n/a	BM-2251R	6570	140	wood charcoal	n/d	-5736	-5219	14.382237	42.208409	Biagi & Spataro 2002	Biagi02
Marcianese	Italy	EN	Sample associated with Impressed Ware	BM-2252	6000	110	human and animal bone	n/d	-5213	-4616	14.382237	42.208409	Ambers et al. 1987	https://doi.org/10.1017/S0033822200043575
Marcianese	Italy	EN	n/a	BM-2252R	6300	170	human and animal bone	n/d	-5611	-4847	14.382237	42.208409	Biagi & Spataro 2002	Biagi02
Abrigo de la Pena Maranon	Spain	EM	Layer d inf	BM-2263	7890	120	animal bone	Herbivorous	-7063	-6480	-2.438382	42.632909	Gonzalez-Samperiz et al. 2008	https://doi.org/10.1016/j.yqres.2008.10.006
Santa Tecchia	Italy	EN	n/a	BM-2414	6520	70	human bone	Homo sapiens	-5620	-5331	15.842114	41.685083	Forenbaher & Miracle 2006	https://doi.org/10.4312/dp.33.10
Fontanarosa Uliveto	Italy	EN	Layer 6a, external ditch of the village	BM-2415	6490	150	wood charcoal	n/d	-5717	-5076	15.783333	41.326	Ambers et al. 1983	https://doi.org/10.1017/S003382220004457X
Coppa Nevigata	Italy	EN	C5/H3	BM-2557	7780	320	plant seed	Triticum monococcum/dicoccum	-7489	-6067	15.830555	41.563888	Ambers et al. 1983	https://doi.org/10.1017/S003382220004457X
Pian dei Cavalli	Italy	LM	CA13	Caval?	7030	750	wood charcoal	n/d	-7938	-4398	9.294722	46.419665	Biagi 1997	Biagi1997b
Cueva de Nerja	Spain	LM	unit 5 inf	CNA-102.01	7610	90	wood charcoal	n/d	-6641	-6253	-3.844529	36.762871	Carrasco & Martinez 2010	https://doi.org/10.30827/cpag.v20i0.134
Hundidero-Gato	Spain	EN	n/a	CNA-1131	6055	35	human bone	Homo sapiens	-5197	-4844	-5.242685	36.727487	Carrasco & Martinez 2014	Carrasco14
Hundidero-Gato	Spain	EN	n/a	CNA-1132	6270	50	human bone	Homo sapiens	-5359	-5063	-5.242685	36.727487	Carrasco & Martinez 2014	Carrasco14
El Collado	Spain	LM	burial 9	CNA-1625,1	7801	38	human bone	Homo sapiens	-6736	-6504	-0.118948	38.911304	Gibaja et al. 2015	https://doi.org/10.1371/journal.pone.0115505
El Collado	Spain	LM	burial 11	CNA-16261,1	7742	35	human bone	Homo sapiens	-6642	-6481	-0.118948	38.911304	Gibaja et al. 2015	https://doi.org/10.1371/journal.pone.0115505
Camp del Colomer	Andorre	MN	SJ7	CNA-2256.1.1	5205	35	plant seed	Hordeum vulgare	-4217	-3954	1.49071	42.440674	Remolins & Gibaja 2018	Remolins18
Camp del Colomer	Andorre	MN	EI2, hut base	CNA-2257.1.1	5600	35	plant seed	Corylus avellana	-4500	-4351	1.49071	42.440674	Remolins & Gibaja 2018	Remolins18
La Feixa del Moro	Andorre	MN	FM2	CNA-2330.1.1	5025	45	human bone	Homo sapiens	-3952	-3660	1.492377	42.440047	Remolins et al. 2016	https://doi.org/10.1016/j.crpv.2015.11.005
La Feixa del Moro	Andorre	MN	FM3	CNA-2331.1.1	5095	45	human bone	Homo sapiens	-3983	-3781	1.492377	42.440047	Remolins et al. 2016	https://doi.org/10.1016/j.crpv.2015.11.005
Vinya en Pau	Spain	EN	E1	CNA-2488.1.1	6410	40	animal bone	Ovis aries	-5475	-5314	1.699466	41.344905	Oms et al. 2016	https://doi.org/10.1017/RDC.2015.14
Coro Trasito	Spain	EN	UE3002	CNA-2520	5850	35	plant seed	Corylus avellana	-4798	-4608	0.177973	42.595563	Clemente Conte et al. 2014	ClementeConte14
Balma Margineda	Andorra	EN	Layer 3a	CNA-2679.1.1	5850	35	animal bone	Ovis/Capra	-4798	-4608	1.487	42.4824	Manen et al. 2020	https://doi.org/10.1017/RDC.2018.98
Balma Margineda	Andorre	EN	Layer 3, F1 (fireplace)	CNA-2680.1.1	5472	54	animal bone	Ovis/Capra	-4447	-4174	1.487	42.4824	Manen et al. 2020	https://doi.org/10.1017/RDC.2018.98
Balma Margineda	Andorra	EN	Layer 3F (pit)	CNA-2681.1.1	6083	38	animal bone	Ovis/Capra	-5207	-4847	1.487	42.4824	Manen et al. 2020	https://doi.org/10.1017/RDC.2018.98
Balma Margineda	Andorre	EN	Layer 3f	CNA-2682.1.1	7401	37	animal bone	Capra pyrenaica	-6395	-6092	1.487	42.4824	Manen et al. 2020	https://doi.org/10.1017/RDC.2018.98
Coro Trasito	Spain	EN	Layer 3013 base, Test pit	CNA-2944.1.1	6269	33	plant seed	Tritticum sp.	-5319	-5077	0.177973	42.595563	Gassiot et al. 2019	Gassiot19
Cueva de Nerja	Spain	LM	LM	CNA-3293.2.1	7907	39	human bone	Homo sapiens	-7032	-6647	-3.844529	36.762871	Fernandez et al. 2020	https://doi.org/10.1007/s12520-020-01207-x
Cova Avellaner	Spain	EN	Cave  1	CNA-3304.1	5941	40	human bone	Homo sapiens	-4935	-4719	2.543608	42.074979	Gibaja et al. 2018	https://doi.org/10.21630/maa.2018.69.01
Cova Avellaner	Spain	EN	Cave  2	CNA-3305.1	6204	40	human bone	Homo sapiens	-5301	-5035	2.543608	42.074979	Gibaja et al. 2018	https://doi.org/10.21630/maa.2018.69.01
